province,city,time,cum_confirm,cum_heal,cum_dead,累计重症病例,累计危重病例,confirm,heal,dead,新增重症病例数量,新增危重病例数量,武汉接触史,来源链接,数据来源,公告中是否有病例,其他
天津,天津,2020-02-02,48,1,,15,3,7,1,,2,,,http://wsjk.tj.gov.cn/col/col14/index.html,天津市卫生健康委员会,,
北京,北京,2020-02-02,191,9,1,,,,NA,,,,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/,北京市卫生健康委员会,,
湖北,湖北,2020-02-02,11177,295,350,1223,478,2103,56,80,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,武汉,2020-02-02,5142,,265,,,1033,41,53,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,黄石,2020-02-02,334,,2,,,82,0,8,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,十堰,2020-02-02,256,,0,,,44,0,2,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,襄阳,2020-02-02,548,,0,,,107,0,0,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,宜昌,2020-02-02,392,,1,,,39,0,1,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,荆州,2020-02-02,499,,6,,,166,2,2,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,荆门,2020-02-02,345,,11,,,16,4,3,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,鄂州,2020-02-02,306,,15,,,28,2,2,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,孝感,2020-02-02,918,,14,,,169,0,0,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,黄冈,2020-02-02,1246,,17,,,244,2,5,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,咸宁,2020-02-02,296,,0,,,50,0,0,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,随州,2020-02-02,458,,5,,,74,2,0,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,恩施,2020-02-02,111,,0,,,6,0,4,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,仙桃,2020-02-02,169,,3,,,29,0,0,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,天门,2020-02-02,115,,10,,,16,3,0,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,潜江,2020-02-02,35,,1,,,0,0,0,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
湖北,神农架,2020-02-02,7,,0,,,0,0,0,,,,http://wjw.hubei.gov.cn/fbjd/dtyw/,湖北省卫生健康委员会,,
河北,河北,2020-02-02,113,3,1,12,,9,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,沧州,2020-02-02,19,0,1,1,,0,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,石家庄,2020-02-02,16,0,0,2,,3,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,邢台,2020-02-02,14,0,0,2,,4,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,保定,2020-02-02,13,2,0,0,,0,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,廊坊,2020-02-02,12,1,0,1,,1,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,唐山,2020-02-02,11,0,0,2,,0,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,邯郸,2020-02-02,11,0,0,1,,0,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,张家口,2020-02-02,9,0,0,2,,0,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,衡水,2020-02-02,4,0,0,0,,0,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,承德,2020-02-02,2,0,0,1,,0,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
河北,秦皇岛,2020-02-02,2,0,0,0,,1,NA,,,,,http://www.hebwst.gov.cn/index.do?id=396405&templet=content&cid=14,河北省卫生健康委员会,,
山西,山西,2020-02-02,66,2,,5,,10,NA,1,2,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
山西,晋中,2020-02-02,15,0,,0,,2,NA,0,0,,,http://wjw.nmg.gov.cn/doc/2020/02/03/287410.shtml#,山西自治区卫生健康委员会,,
